NaN,-0.68477,0.31148,0.41209,-0.12251,-0.44795,0.50253,0.68143,-0.29668,-0.84829
0.81158,NaN,-0.92858,-0.93633,-0.23688,0.35941,-0.48981,-0.49144,0.66166,-0.8921
-0.74603,0.91433,NaN,-0.44615,0.53103,0.3102,0.011914,0.62857,0.17053,0.061595
0.82675,-0.029249,0.86799,NaN,0.5904,-0.67478,0.39815,-0.51295,0.099447,0.55833
0.26472,0.60056,0.35747,-0.80574,NaN,-0.762,0.78181,0.85853,0.83439,0.86802
-0.80492,-0.71623,0.51548,0.64692,-0.020471,NaN,0.91858,-0.30003,-0.42832,-0.74019
-0.443,-0.15648,0.48626,0.38966,-0.10883,0.91949,NaN,-0.60681,0.5144,0.13765
0.093763,0.83147,-0.21555,-0.3658,0.29263,-0.31923,-0.72275,NaN,0.50746,-0.061219
0.91501,0.58441,0.31096,0.90044,0.41873,0.17054,-0.70141,0.23209,NaN,-0.9762
0.92978,0.91898,-0.65763,-0.93111,0.50937,-0.55238,-0.48498,-0.053422,0.13564,NaN
