NaN,0.97596,0.43007,0.15344,0.0433,-0.73366,-0.66566,0.9661,-0.61913,0.16597,0.18871,-0.3608,-0.69269,-0.86401,-0.078167
0.46066,NaN,0.80744,-0.63416,-0.80654,-0.65322,-0.78757,-0.39709,-0.26217,-0.49639,-0.95497,0.061729,-0.43799,-0.49042,0.54032
-0.022782,0.77034,NaN,-0.52014,0.6363,-0.21812,-0.25518,0.4022,-0.078548,-0.41912,-0.14948,0.30889,-0.11983,-0.55192,-0.35506
0.15705,0.82657,-0.33167,NaN,0.63509,0.66276,-0.60376,0.33268,0.96328,0.23418,-0.37456,-0.18476,0.054285,0.33567,0.56948
-0.52543,0.59237,0.39749,-0.94265,NaN,0.60673,-0.020625,0.078253,-0.68719,-0.46944,-0.67703,0.63996,-0.085151,0.68878,-0.057286
-0.082302,-0.80258,-0.60438,-0.020197,-0.70027,NaN,-0.32101,0.39621,0.71105,0.64875,-0.64247,0.43672,0.75074,-0.31108,-0.92847
0.92618,-0.47626,-0.93892,-0.66415,0.31921,-0.20148,NaN,0.33306,0.28953,0.96533,-0.15423,0.9373,0.036104,0.56104,-0.64825
0.093611,-0.32929,0.48815,0.95736,0.03719,0.053752,0.84066,NaN,-0.24746,0.4605,-0.81154,0.062668,0.88725,0.35066,0.44352
0.042272,0.35946,4.4871e-05,0.42539,0.94595,-0.1664,-0.89465,-0.74397,NaN,-0.31225,0.19705,-0.34971,0.27542,-0.98657,-0.053028
-0.53681,-0.72689,-0.040156,0.00094325,0.29798,0.31372,0.47572,0.99816,-0.14349,NaN,-0.058151,-0.78874,0.91539,0.20434,-0.69456
-0.022205,0.44245,0.80944,-0.057823,0.60066,0.25595,-0.46176,-0.65776,-0.035956,-0.78446,NaN,0.22192,-0.51859,-0.22646,-0.31775
0.24812,-0.78648,0.21973,-0.88076,-0.092405,-0.41603,-0.15433,-0.9348,-0.75878,0.81262,0.39978,NaN,0.35224,0.83198,0.21478
0.35827,0.30751,0.23533,0.36394,-0.13522,-0.1367,0.095742,0.1224,0.17901,0.75931,0.27706,-0.15309,NaN,-0.9977,-0.61651
-0.20897,-0.011652,0.71888,-0.91514,0.65063,-0.96903,0.88547,0.76373,-0.54762,0.63552,-0.93279,-0.81835,0.34362,NaN,0.47685
-0.26513,0.5581,0.61098,-0.85711,-0.83306,0.96813,-0.16451,0.33835,-0.23076,-0.47854,-0.86239,-0.46706,0.39028,-0.1513,NaN
