NaN,-0.011652,0.61098,0.0433,-0.65322,-0.25518,0.33268,-0.68719,0.64875,-0.15423,0.062668,0.27542,0.20434,-0.31775,0.29524,0.68386
-0.20897,NaN,0.15344,-0.80654,-0.21812,-0.60376,0.078253,0.71105,0.96533,-0.81154,-0.34971,0.91539,-0.22646,0.21478,0.35803,0.66583
-0.26513,0.43007,NaN,0.6363,0.66276,-0.020625,0.39621,0.28953,0.4605,0.19705,-0.78874,-0.51859,0.83198,-0.61651,0.27157,-0.48712
0.97596,0.80744,-0.52014,NaN,0.60673,-0.32101,0.33306,-0.24746,-0.31225,-0.058151,0.22192,0.35224,-0.9977,0.47685,0.89035,0.22692
-0.92452,0.78185,0.77302,0.44488,NaN,0.90326,-0.64374,-0.61815,0.16814,0.3919,0.5576,-0.42187,-0.075102,-0.5143,-0.58213,0.1645
0.77034,-0.33167,-0.94265,-0.70027,-0.20148,NaN,-0.74397,-0.14349,-0.78446,0.39978,-0.15309,0.34362,-0.1513,0.83485,0.41856,0.081479
0.82657,0.39749,-0.020197,0.31921,0.053752,-0.89465,NaN,-0.035956,0.81262,0.27706,-0.81835,0.39028,-0.078167,-0.46188,-0.52754,0.73988
0.59237,-0.60438,-0.66415,0.03719,-0.1664,0.47572,-0.65776,NaN,0.75931,-0.93279,-0.46706,-0.86401,0.54032,0.531,-0.76121,-0.47044
-0.80258,-0.93892,0.95736,0.94595,0.31372,-0.46176,-0.9348,0.17901,NaN,-0.86239,-0.69269,-0.49042,-0.35506,-0.62268,0.21461,-0.36385
-0.47626,0.48815,0.42539,0.29798,0.25595,-0.15433,0.1224,-0.54762,-0.47854,NaN,-0.43799,-0.55192,0.56948,-0.425,-0.099725,-0.76157
-0.32929,4.4871e-05,0.00094325,0.60066,-0.41603,0.095742,0.76373,-0.23076,0.18871,0.061729,NaN,0.33567,-0.057286,-0.81777,-0.082549,0.87966
0.35946,-0.040156,-0.057823,-0.092405,-0.1367,0.88547,0.33835,0.16597,-0.95497,0.30889,0.054285,NaN,-0.92847,0.15242,0.32389,0.2911
-0.72689,0.80944,-0.88076,-0.13522,-0.96903,-0.16451,-0.61913,-0.49639,-0.14948,-0.18476,-0.085151,-0.31108,NaN,0.36673,0.54057,-0.041074
0.44245,0.21973,0.36394,0.65063,0.96813,0.9661,-0.26217,-0.41912,-0.37456,0.63996,0.75074,0.56104,0.44352,NaN,-0.29956,0.27863
-0.78648,0.23533,-0.91514,-0.83306,-0.66566,-0.39709,-0.078548,0.23418,-0.67703,0.43672,0.036104,0.35066,-0.053028,-0.14854,NaN,0.089432
0.30751,0.71888,-0.85711,-0.73366,-0.78757,0.4022,0.96328,-0.46944,-0.64247,0.9373,0.88725,-0.98657,-0.69456,0.28889,-0.16768,NaN
